Force,Distance,Time,Event,
N,mm,min,,
Sample 1,,,,
-0.3178,0.0050,1.06367,0,
-0.3178,0.0050,1.06383,0,
-0.1589,0.0050,1.06400,0,
-0.3178,0.0050,1.06417,0,
-0.3178,0.0050,1.06433,0,
-0.1589,0.0050,1.06450,0,
-0.1589,0.0050,1.06467,0,
-0.1589,0.0050,1.06483,0,
-0.1589,0.0050,1.06500,0,
-0.3178,0.0050,1.06517,0,
-0.1589,0.0050,1.06533,0,
-0.1589,0.0050,1.06550,0,
-0.3178,0.0050,1.06567,0,
-0.1589,0.0050,1.06583,0,
-0.1589,0.0050,1.06600,0,
-0.1589,0.0050,1.06617,0,
-0.1589,0.0050,1.06633,0,
-0.1589,0.0050,1.06650,0,
-0.1589,0.0050,1.06667,0,
-0.1589,0.0050,1.06683,0,
-0.1589,0.0050,1.06700,0,
-0.1589,0.0050,1.06717,0,
-0.1589,0.0050,1.06733,0,
-0.1589,0.0050,1.06750,0,
-0.1589,0.0050,1.06767,0,
-0.1589,0.0050,1.06783,0,
-0.1589,0.0050,1.06800,0,
-0.1589,0.0050,1.06817,0,
-0.1589,0.0050,1.06833,0,
-0.1589,0.0050,1.06850,0,
-0.1589,0.0050,1.06867,0,
-0.1589,0.0050,1.06883,0,
-0.1589,0.0050,1.06900,0,
-0.1589,0.0050,1.06917,0,
-0.1589,0.0050,1.06933,0,
-0.1589,0.0050,1.06950,0,
-0.1589,0.0050,1.06967,0,
-0.1589,0.0050,1.06983,0,
-0.1589,0.0050,1.07000,0,
-0.1589,0.0050,1.07017,0,
-0.1589,0.0050,1.07033,0,
-0.1589,0.0050,1.07050,0,
-0.1589,0.0050,1.07067,0,
-0.1589,0.0050,1.07083,0,
-0.1589,0.0050,1.07100,0,
-0.1589,0.0050,1.07117,0,
-0.1589,0.0050,1.07133,0,
-0.1589,0.0050,1.07150,0,
-0.1589,0.0050,1.07167,0,
-0.1589,0.0050,1.07183,0,
-0.1589,0.0050,1.07200,0,
-0.1589,0.0050,1.07217,0,
-0.1589,0.0050,1.07233,0,
-0.1589,0.0050,1.07250,0,
-0.1589,0.0050,1.07267,0,
-0.1589,0.0050,1.07283,0,
-0.1589,0.0050,1.07300,0,
-0.1589,0.0050,1.07317,0,
-0.1589,0.0050,1.07333,0,
-0.1589,0.0050,1.07350,0,
-0.1589,0.0050,1.07367,0,
-0.1589,0.0050,1.07383,0,
-0.1589,0.0050,1.07400,0,
-0.1589,0.0050,1.07417,0,
-0.1589,0.0050,1.07433,0,
-0.1589,0.0050,1.07450,0,
-0.1589,0.0050,1.07467,0,
-0.0000,0.0050,1.07483,0,
-0.0000,0.0050,1.07500,0,
-0.1589,0.0050,1.07517,0,
-0.1589,0.0050,1.07533,0,
-0.1589,0.0050,1.07550,0,
